"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"119"	"17"	"2"	"250"	"1079"	"10"	"YES"	6.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-09	17323.5	19	11.3
"120"	"17"	"2"	"250"	"250"	"3"	"NO"	NA	NA	NA	2017-05-28	2017-05-28	NA	NA	NA	11.3
"121"	"17"	"2"	"250"	"1079"	"6"	"YES"	NA	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17329.5	7	11.3
"122"	"17"	"2"	"250"	"1079"	"8"	"YES"	6.83333333333333	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-06-09	17320	12	11.3
"123"	"17"	"2"	"250"	"1079"	"9"	"YES"	NA	2017-05-24	2017-06-02	2017-05-18	2017-06-02	2017-05-28	17314.5	9	11.3
"124"	"17"	"2"	"250"	"1079"	"14"	"YES"	NA	2017-06-02	2017-06-02	NA	NA	2017-06-02	17319	0	11.3
"125"	"17"	"2"	"250"	"1079"	"13"	"YES"	NA	2017-05-28	2017-06-09	2017-06-02	2017-06-02	2017-05-28	17320	12	11.3
"126"	"17"	"2"	"250"	"250"	"4"	"NO"	NA	NA	NA	2017-06-02	2017-06-02	NA	NA	NA	11.3
"127"	"17"	"2"	"250"	"1079"	"12"	"YES"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	11.3
"128"	"17"	"4"	"263"	"263"	"9"	"NO"	8.5	2017-05-24	2017-06-16	2017-05-24	2017-06-16	2017-05-28	17321.5	23	12.2
"129"	"17"	"4"	"263"	"263"	"5"	"NO"	5.33333333333333	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-16	17326	14	12.2
"130"	"17"	"4"	"263"	"263"	"7"	"NO"	9.33333333333333	2017-05-28	2017-06-19	2017-06-02	2017-06-16	2017-06-09	17325	22	12.2
"131"	"17"	"4"	"263"	"263"	"1"	"NO"	6.5	2017-06-16	2017-06-16	2017-06-16	2017-06-16	2017-06-16	17333	0	12.2
"132"	"17"	"4"	"263"	"263"	"3"	"NO"	6.5	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-05-28	17318	16	12.2
"133"	"17"	"4"	"263"	"263"	"8"	"NO"	7.83333333333333	2017-05-24	2017-06-16	2017-05-28	2017-06-02	2017-06-02	17321.5	23	12.2
"134"	"17"	"4"	"263"	"263"	"6"	"NO"	6.25	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-05-28	17320	12	12.2
"135"	"17"	"4"	"263"	"263"	"10"	"NO"	6.25	2017-06-02	2017-06-09	NA	NA	2017-06-02	17322.5	7	12.2
"136"	"17"	"2"	"279"	"279"	"5"	"NO"	NA	2017-06-09	2017-06-09	NA	NA	2017-06-09	17326	0	11.4
"137"	"17"	"2"	"279"	"279"	"10"	"NO"	NA	2017-06-02	2017-06-09	2017-06-09	2017-06-09	2017-06-02	17322.5	7	11.4
"138"	"17"	"2"	"279"	"279"	"7"	"NO"	NA	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-06-02	17320	12	11.4
"139"	"17"	"2"	"279"	"279"	"4"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	11.4
"140"	"17"	"2"	"279"	"279"	"3"	"NO"	NA	2017-06-02	2017-06-02	2017-06-02	2017-06-02	2017-06-02	17319	0	11.4
"141"	"17"	"2"	"279"	"279"	"1"	"NO"	6.33333333333333	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-02	17323.5	19	11.4
"142"	"WS"	"3"	"282"	"282"	"1"	"NO"	7	2017-06-02	2017-06-09	2017-05-28	2017-06-16	2017-06-02	17322.5	7	29.8
"143"	"WS"	"3"	"282"	"282"	"3"	"NO"	7.83333333333333	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17329.5	7	29.8
