"id"	"plot"	"FFD"	"mean_temp"	"temp1"	"n_fr"	"total_seeds"	"seed_data"	"n_fruits"	"n_seeds"	"seeds_per_fr"	"diam1"	"diam2"	"nstems"	"nfl"	"maxh"	"medianh"	"area"
"181"	"H380"	"H10"	2017-06-26	19.8666666666667	19.7	6	300	"yes"	6	300	50	58	48	1	37	21	11.5	8746.19394759398
"182"	"H381"	"H10"	NA	19.1	19.5	NA	NA	NA	NA	NA	NA	76	57	0	1	109	5.5	13609.379375351
"183"	"H382"	"H10"	NA	17.7333333333333	17.6	NA	NA	NA	NA	NA	NA	76	65	0	1	31	10	15519.4677087336
"184"	"H383"	"H10"	NA	20.4666666666667	21	NA	NA	NA	NA	NA	NA	51	42	0	1	111	3.5	6729.29146398934
"185"	"H384"	"H10"	2017-06-26	21.3333333333333	22.4	4	182	"yes"	4	182	45.5	44	32	1	32	127	9	4423.36245625443
"186"	"H385"	"H10"	2017-06-19	24.3	26.6	NA	NA	NA	0	0	NA	82	68	4	10	34	11	17517.5206364167
"187"	"H386"	"H10"	2017-07-16	23.5	23.5	3	57	"yes"	3	57	19	55	38	1	24	126	8.1	6565.92864600267
"188"	"H387"	"H10"	2017-06-19	26.8333333333333	25.3	NA	NA	NA	0	0	NA	19	63	3	42	98	5.6333333333	3760.48640634698
"189"	"H388"	"H10"	NA	25.5	22.3	NA	NA	NA	NA	NA	NA	40	27	0	1	81	3.4	3392.92006587698
"190"	"H389"	"H10"	NA	24.4666666666667	22.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	"H39"	"H02"	2017-07-17	16.8666666666667	18.8	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"192"	"H390"	"H10"	2017-06-19	21.8333333333333	21.8	19	710.6	"yes"	19	710.6	37.4	76	62	7	18	124	7	14803.1845837151
"193"	"H391"	"H10"	2017-06-19	22.7666666666667	20.5	20	445	"yes"	20	445	22.25	76	64	8	19	103	5	15280.7066670608
