record	id	plot	x	y	peak	comments	date	temp	stage
1	H1165	HC6	8	2,5	-	wrong species	09/06/2017	7,1	VL
1	H1166	HC6	9,05	1,6	-	wrong species	09/06/2017	6,7	VL
1	H1167	HC6	9,25	1,45	-	wrong species	09/06/2017	7	VL
1	H1168	HC6	9,7	-0,85	X		09/06/2017	7	B1
1	H1169	HC6	10,45	-1,7	X		09/06/2017	7,1	B1
1	H1170	HC6	11,3	0,5	X		09/06/2017	7	VL
1	H1171	HC6	11,4	4,95	X		09/06/2017	7,2	B1
1	H1172	HC6	11,6	5,25	X		09/06/2017	7,2	B1
1	H1173	HC6	11,9	6,9	X		09/06/2017	7,1	B2
1	H1174	HC6	14,4	8,5	-	wrong species	09/06/2017	6,7	B2
1	H1175	HC6	14	9,8	-	wrong species	09/06/2017	7,4	B1
1	H1176	HC6	15,7	2,3	-	wrong species	09/06/2017	7,1	VL
1	H1177	HC6	19,3	2,7	X		09/06/2017	7,3	VL
1	H1178	HC6	20,1	7,5			09/06/2017	7,6	VL
1	H1179	HC6	22,7	9,6			09/06/2017	8,7	VL
1	H1180	HC6	26,8	4,5		wrong species	09/06/2017	8	VL
1	H1181	HC6	26,7	6,1			09/06/2017	8	VL
1	H1182	HC6	26,2	1,4	X		09/06/2017	8,2	B1
1	H1183	HC6	26,5	1,25			09/06/2017	7,7	VL
2	H1	H01					02/06/2017	17,7	B2
2	H2	H01					02/06/2017	20	B1
2	H3	H01					02/06/2017	30,2	B1
2	H4	H01					02/06/2017	19,7	B3
2	H5	H01					02/06/2017	26	B4
2	H6	H01					02/06/2017	23,1	B3
2	H7	H01					02/06/2017	27,8	B1
2	H8	H01					02/06/2017	23	VS
2	H9	H01					02/06/2017	23	VS
2	H10	H01					02/06/2017	17	VL
2	H11	H01					02/06/2017	19	VL
2	H12	H01					02/06/2017	18	B1
2	H13	H01					02/06/2017	18,6	B2
